crew_id,stayover_outstation_count,deadhead_count,deadhead_position_count,inconsistent_location_count,insufficient_transfer_count,flight_task_limit,duty_task_limit,flight_time_limit,rest_time_limit,duty_time_limit,cycle_rule_count,total_duty_time_limit,unqualified_crew_count,total_duty_days,total_flight_time
Crew_10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10003,6,0,0,0,0,0,0,0,0,0,0,0,0,4,22.133333333333333
Crew_10004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.083333333333334
Crew_10005,5,0,0,0,0,0,0,0,0,0,0,0,0,4,27.98333333333333
Crew_10006,4,0,0,0,0,0,0,0,0,1,2,0,0,6,35.599999999999994
Crew_10007,5,0,0,0,0,0,0,0,0,0,0,0,0,4,24.25
Crew_10010,7,0,0,0,0,0,0,0,0,0,0,0,0,4,21.9
Crew_10012,6,0,0,0,0,0,0,0,0,0,0,0,0,3,16.76666666666667
Crew_10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10014,5,0,0,0,0,0,0,0,0,0,0,0,0,4,24.849999999999998
Crew_10015,1,0,0,0,0,0,0,0,0,0,2,0,0,6,33.68333333333334
Crew_10016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10017,0,0,0,0,0,0,0,0,0,0,2,0,0,6,43.550000000000004
Crew_10018,6,0,0,0,0,0,0,0,0,0,0,0,0,4,23.95
Crew_10019,3,0,0,0,0,0,0,0,0,0,0,0,0,3,18.0
Crew_10020,6,0,0,0,0,0,0,0,0,0,0,0,0,4,26.316666666666666
Crew_10023,5,0,0,0,0,0,0,0,0,0,0,0,0,4,26.583333333333332
Crew_10024,5,0,0,0,0,0,0,0,0,0,0,0,0,3,19.366666666666667
Crew_10025,3,0,0,0,0,0,0,0,0,0,2,0,0,6,37.25000000000001
Crew_10026,6,0,0,1,0,0,0,0,0,0,0,0,0,4,25.31666666666667
Crew_10028,5,0,0,0,0,0,0,0,0,0,0,0,0,5,23.85
Crew_10029,4,0,0,0,0,0,0,0,0,0,0,0,0,4,23.150000000000002
Crew_10030,6,0,0,0,0,0,0,0,0,0,0,0,0,4,25.8
Crew_10031,6,0,0,0,0,0,0,0,0,0,0,0,0,4,29.116666666666664
Crew_10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10033,7,0,0,0,0,0,0,0,0,0,0,0,0,4,27.383333333333333
Crew_10034,5,0,0,0,0,0,0,0,0,0,0,0,0,4,26.166666666666668
Crew_10035,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.8999999999999995
Crew_10037,6,0,0,0,0,0,0,0,0,0,0,0,0,4,24.51666666666667
Crew_10040,6,0,0,0,0,0,0,0,0,0,0,0,0,4,28.01666666666667
Crew_10041,6,0,0,0,0,0,0,0,0,0,0,0,0,4,20.283333333333335
Crew_10043,5,0,0,0,0,0,0,0,0,0,0,0,0,4,26.533333333333335
Crew_10044,5,0,0,0,0,0,0,0,0,0,0,0,0,4,26.249999999999996
Crew_10045,5,0,0,0,0,0,0,0,0,0,0,0,0,3,18.166666666666668
Crew_10046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10047,6,0,0,0,0,0,0,0,0,0,0,0,0,4,25.983333333333334
Crew_10048,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5666666666666667
Crew_10049,4,0,0,0,0,0,0,0,0,0,0,0,0,2,12.583333333333332
Crew_10050,5,0,0,0,0,0,0,0,0,0,0,0,0,4,22.75
Crew_10051,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.516666666666667
